"","GeneID"
"1","CTYZ_00003628"
"2","CTYZ_00003638"
"3","CTYZ_00003942"
"4","CTYZ_00002307"
"5","CTYZ_00002563"
"6","CTYZ_00002609"
"7","CTYZ_00002640"
"8","CTYZ_00002695"
"9","CTYZ_00002732"
"10","CTYZ_00003072"
"11","CTYZ_00003103"
"12","CTYZ_00002168"
"13","CTYZ_00003190"
"14","CTYZ_00003393"
"15","CTYZ_00003459"
"16","CTYZ_00003484"
"17","CTYZ_00003487"
"18","CTYZ_00003509"
"19","CTYZ_00003514"
"20","CTYZ_00003516"
"21","CTYZ_00003532"
"22","CTYZ_00003551"
"23","CTYZ_00001203"
"24","CTYZ_00001223"
"25","CTYZ_00001255"
"26","CTYZ_00001256"
"27","CTYZ_00000646"
"28","CTYZ_00000679"
"29","CTYZ_00000694"
"30","CTYZ_00000701"
"31","CTYZ_00000154"
"32","CTYZ_00000474"
"33","CTYZ_00000487"
"34","CTYZ_00000490"
"35","CTYZ_00000534"
"36","CTYZ_00000535"
