No.,Species,Accession,Abbr,Host,Isolate,Location,Region,Region_Abbr,Kit,Year,gp60_genotype,Latitude,Longitude
1,C.tyzzeri,unpublished,EUR_T_866,Mus,AA_0866,Germany,Brandenburg,BR,Illumina,2022,IXb,52.9206,13.5558
2,C.tyzzeri,unpublished,EUR_T_942,Mus,AA_0942,Germany,Brandenburg,BR,Illumina,2022,IXb,52.9576,13.2839
3,C.tyzzeri,unpublished,EUR_T_900,Mus,AA_0900,Germany,Brandenburg,BR,Illumina,2022,IXb,52.6967,14.0833
4,C.tyzzeri,SRR5683558,USA_T_GA,Mus,UGA55,USA,Georgia,GA,Illumina MiSeq,2019,IXb,33.98008578,-83.40055695
5,C.tyzzeri,SRR16934713,CHN_T_GU,Mus,TYGZ1,China,Guangdong,GU,Illumina HiSeq 2500,2021,IXa,23.36025099,113.3677406
6,C.parvum,SRR15694518,EUR_P_CZ2,Human,Czech5,Czech Republic,Czech Republic,CZ,Illumina HiSeq 2500,2017,IIa,49.60718072,14.9993668
7,C.parvum,SRR15694490,USA_P_OR,Human,43801,USA,Oregon,OR,Illumina HiSeq 2500,2016,IIc,43.83910242,-120.7051774
8,C.parvum,SRR15694483,USA_P_AL1,Human,M1701011662,USA,Alabama,AL,Illumina HiSeq 2500,2017,IIc,32.92583636,-86.7266894
9,C.parvum,SRR15694501,USA_P_AL2,Human,45175,USA,Alabama,AL,Illumina HiSeq 2500,2018,IId,32.92583636,-86.7266894
10,C.parvum,SRR18395901,EUR_P_FR,Human,CHR,France,Lille,FR,Illumina,2017,II,50.61110979,3.034755577
11,C.parvum,SRR15694519,EUR_P_CZ1,Cattle,Czech3,Czech Republic,Czech Republic,CZ,Illumina HiSeq 2500,2017,IIa,49.60718072,14.9993668
12,C.parvum,SRR15694484,CHN_P_GU1,Cattle,22973,China,Guangdong,GU,Illumina HiSeq 2500,2019,IId,23.36025099,113.3677406
13,C.parvum,SRR15694495,CHN_P_GU2,Cattle,22972,China,Guangdong,GU,Illumina HiSeq 2500,2019,IId,23.36025099,113.3677406
14,C.parvum,SRR15694506,CHN_P_GU3,Cattle,22971,China,Guangdong,GU,Illumina HiSeq 2500,2019,IId,23.36025099,113.3677406
15,C.parvum,SRR15694521,CHN_P_SH1,Cattle,22207,China,Shanghai,SH,Illumina HiSeq 2500,2015,IId,31.23930929,121.4726021
16,C.parvum,SRR15694522,CHN_P_SH2,Cattle,22600,China,Shanghai,SH,Illumina HiSeq 2500,2016,IId,31.23930929,121.4726021
17,C.parvum,SRR15694502,USA_P_WI,Cattle,NAMHS-861,USA,Wisconsin,WI,Illumina HiSeq 2500,2015,IIa,44.69938242,-89.58181518
18,C.parvum,SRR15694503,USA_P_WA1,Cattle,NAMHS-2153,USA,Washington,WA,Illumina HiSeq 2500,2015,IIa,47.36275017,-120.1583777
19,C.parvum,SRR15694504,USA_P_WA2,Cattle,NAMHS-1925,USA,Washington,WA,Illumina HiSeq 2500,2015,IIa,47.36275017,-120.1583777
20,C.hominis,ERR970586,COL_H_MD,Human,UdeA01,Colombia,Medellin,MD,Illumina MiSeq,2015,Ie,6.26966204,-75.56972671
21,C.hominis,SRR1557959,USA_H_MO,Human,30976,USA,St.Louis,MO,Illumina GAIIx,2015,Ia,38.74843392,-90.18546838
22,C.hominis,SRR1558150,USA_H_ID,Human,37999,USA,Twin Falls,ID,Illumina GAIIx,2015,Ib,42.59946287,-114.3553011
23,C.hominis,SRR1015747,UGA_H_KA1,Human,TU502_2012,Uganda,Kampala,KA,Illumina MiSeq,2004,Ib,0.3664982461,32.55550913
24,C.hominis,SRR1015748,UGA_H_KA2,Human,TU502_2012,Uganda,Kampala,KA,Illumina MiSeq,2004,Ib,0.3664982461,32.55550913
25,C.hominis,SRR1015721,EUR_H_WL1,Human,UKH1,United Kingdom,Wales,WL,Illumina MiSeq,2012,Ib,51.61055436,-3.985158047
26,C.hominis,SRR1015722,EUR_H_WL2,Human,UKH1,United Kingdom,Wales,WL,Illumina MiSeq,2012,Ib,51.61055436,-3.985158047
27,C.hominis,SRR6131684,EUR_H_WL3,Human,UKH3,United Kingdom,Wales,WL,Illumina MiSeq,2012,Ib,51.61055436,-3.985158047
28,C.hominis,SRR6143718,EUR_H_WL4,Human,UKH4,United Kingdom,Wales,WL,Illumina MiSeq,2013,Ib,51.61055436,-3.985158047
29,C.hominis,SRR6144056,EUR_H_WL5,Human,UKH5,United Kingdom,Wales,WL,Illumina MiSeq,2013,Ib,51.61055436,-3.985158047
30,C.hominis,SRR11843789,AFR_H_GH1,Human,C16-10151-GH,Ghana,Ghana,GH,Illumina HiSeq 2500,2016,Id,6.675348774,-1.571441874
31,C.hominis,SRR11843790,AFR_H_GH2,Human,C16-10106-GH,Ghana,Ghana,GH,Illumina HiSeq 2500,2016,Ie,6.675348774,-1.571441874
32,C.hominis,SRR11843791,AFR_H_GH3,Human,C16-10069-GH,Ghana,Ghana,GH,Illumina HiSeq 2500,2016,Ie,6.675348774,-1.571441874
33,C.hominis,SRR11843805,AFR_H_TZ1,Human,C16-10166-TZ,Tanzania,Tanzania,TZ,Illumina HiSeq 2500,2017,Ia,-6.502023667,39.28519775
34,C.hominis,SRR11843798,AFR_H_TZ2,Human,C16-20196-TZ,Tanzania,Tanzania,TZ,Illumina HiSeq 2500,2017,Ib,-6.502023667,39.28519775
