# File Name: HZ22_FEC_Crypto_Plate1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 07:33:16 AM UTC
# Run End Date/Time: 2022-09-25 08:34:01 AM UTC
# Run Duration: 60 minutes 45 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 12:02:04 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 12:02:25 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","Standard Curve","1.0304741859436035","0.011653887141834553","5x10_6","false"
"1","A1","2","Standard Curve","1.023449182510376","0.002064405788074743","5x10_6","false"
"1","A1","3","Standard Curve","1.0138258934020996","-0.010123361240733673","5x10_6","false"
"1","A1","4","Standard Curve","1.021592378616333","-0.004921353947032546","5x10_6","false"
"1","A1","5","Standard Curve","1.0364711284637451","0.007392917979847292","5x10_6","false"
"1","A1","6","Standard Curve","1.039896845817566","0.008254157413135822","5x10_6","false"
"1","A1","7","Standard Curve","1.0422931909561157","0.008086024631153356","5x10_6","false"
"1","A1","8","Standard Curve","1.0421780347824097","0.005406390536915252","5x10_6","false"
"1","A1","9","Standard Curve","1.0338221788406372","-0.0055139433253894796","5x10_6","false"
"1","A1","10","Standard Curve","1.0346955060958862","-0.007205093990672727","5x10_6","false"
"1","A1","11","Standard Curve","1.0441690683364868","-2.960096706044117E-4","5x10_6","false"
"1","A1","12","Standard Curve","1.044347882270813","-0.002681673656810511","5x10_6","false"
"1","A1","13","Standard Curve","1.0511959791183472","0.00160194527019162","5x10_6","false"
"1","A1","14","Standard Curve","1.0617494583129883","0.009590946544300462","5x10_6","false"
"1","A1","15","Standard Curve","1.0757976770401","0.021074687350880007","5x10_6","false"
"1","A1","16","Standard Curve","1.1006877422332764","0.043400274623524006","5x10_6","false"
"1","A1","17","Standard Curve","1.1388609409332275","0.07900899540294291","5x10_6","false"
"1","A1","18","Standard Curve","1.207877516746521","0.1454610932957043","5x10_6","false"
"1","A1","19","Standard Curve","1.324706792831421","0.25972589146007197","5x10_6","false"
"1","A1","20","Standard Curve","1.4966373443603516","0.42909196506847036","5x10_6","false"
"1","A1","21","Standard Curve","1.7269525527954102","0.6568426955829967","5x10_6","false"
"1","A1","22","Standard Curve","2.0146946907043457","0.9420203555714","5x10_6","false"
"1","A1","23","Standard Curve","2.3197367191314697","1.244497906077992","5x10_6","false"
"1","A1","24","Standard Curve","2.6335206031799316","1.5557173122059216","5x10_6","false"
"1","A1","25","Standard Curve","2.9365925788879395","1.8562248099933971","5x10_6","false"
"1","A1","26","Standard Curve","3.2316477298736572","2.1487154830585826","5x10_6","false"
"1","A1","27","Standard Curve","3.511988401412964","2.4264916766773568","5x10_6","false"
"1","A1","28","Standard Curve","3.7771639823913574","2.6891027797352183","5x10_6","false"
"1","A1","29","Standard Curve","4.016833782196045","2.9262081016193733","5x10_6","false"
"1","A1","30","Standard Curve","4.234206676483154","3.1410165179859506","5x10_6","false"
"1","A1","31","Standard Curve","4.436362266540527","3.3406076301227916","5x10_6","false"
"1","A1","32","Standard Curve","4.611057758331299","3.5127386439930306","5x10_6","false"
"1","A1","33","Standard Curve","4.751824855804443","3.650941263545643","5x10_6","false"
"1","A1","34","Standard Curve","4.8876543045043945","3.7842062343250618","5x10_6","false"
"1","A1","35","Standard Curve","5.002939701080322","3.8969271529804574","5x10_6","false"
"1","A1","36","Standard Curve","5.110424041748047","4.00184701572765","5x10_6","false"
"1","A1","37","Standard Curve","5.186842441558838","4.075700937617909","5x10_6","false"
"1","A1","38","Standard Curve","5.259530544281006","4.145824562419544","5x10_6","false"
"1","A1","39","Standard Curve","5.313974857330322","4.197704397548328","5x10_6","false"
"1","A1","40","Standard Curve","5.347353935241699","4.228518997539173","5x10_6","false"
"2","A2","1","Standard Curve","1.0733035802841187","0.00439058722871728","5x10_6","false"
"2","A2","2","Standard Curve","1.072924256324768","7.248719533285543E-4","5x10_6","false"
