# File Name: HZ22_FEC_Crypto_Plate1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 07:33:16 AM UTC
# Run End Date/Time: 2022-09-25 08:34:01 AM UTC
# Run Duration: 60 minutes 45 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 12:02:04 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 12:02:25 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","306067.3","297016.0"
"1","A1","2","304212.0","297241.9"
"1","A1","3","303867.9","299723.97"
"1","A1","4","307256.0","300761.84"
"1","A1","5","312272.66","301284.47"
"1","A1","6","313237.75","301220.03"
"1","A1","7","313887.94","301151.28"
"1","A1","8","314624.66","301891.47"
"1","A1","9","313030.38","302789.38"
"1","A1","10","313051.78","302554.5"
"1","A1","11","315821.53","302462.06"
"1","A1","12","316591.28","303147.34"
"1","A1","13","318386.12","302879.9"
"1","A1","14","321056.4","302384.34"
"1","A1","15","325135.9","302227.75"
"1","A1","16","333199.7","302719.53"
"1","A1","17","344904.6","302850.5"
"1","A1","18","365275.53","302411.06"
"1","A1","19","400289.22","302171.94"
"1","A1","20","452488.5","302336.78"
"1","A1","21","521948.53","302236.75"
"1","A1","22","608385.06","301973.8"
"1","A1","23","699228.3","301425.72"
"1","A1","24","793210.1","301197.62"
"1","A1","25","885041.5","301383.8"
"1","A1","26","973218.7","301152.47"
"1","A1","27","1055667.8","300589.75"
"1","A1","28","1134709.9","300413.2"
"1","A1","29","1208333.8","300817.47"
"1","A1","30","1274461.1","300991.72"
"1","A1","31","1334673.6","300848.66"
"1","A1","32","1387189.0","300839.66"
"1","A1","33","1429885.2","300912.88"
"1","A1","34","1469859.9","300729.1"
"1","A1","35","1503184.0","300460.16"
"1","A1","36","1533631.4","300098.66"
"1","A1","37","1554493.6","299699.4"
"1","A1","38","1576115.6","299668.5"
"1","A1","39","1596023.6","300344.6"
"1","A1","40","1606152.5","300363.97"
"2","A2","1","297162.72","276867.34"
"2","A2","2","297636.34","277406.66"
"2","A2","3","299991.34","278050.7"
"2","A2","4","302703.88","279069.03"
"2","A2","5","303209.8","279670.56"
"2","A2","6","302112.94","279740.22"
"2","A2","7","302438.7","280305.38"
"2","A2","8","305525.2","280738.84"
"2","A2","9","306447.06","280297.03"
"2","A2","10","308180.0","279992.66"
"2","A2","11","309443.66","279966.94"
"2","A2","12","310659.2","280252.7"
"2","A2","13","314778.75","280442.78"
"2","A2","14","317892.88","280271.75"
"2","A2","15","321843.9","280121.25"
"2","A2","16","326676.72","280279.72"
"2","A2","17","339175.72","280240.6"
"2","A2","18","359281.97","280461.44"
"2","A2","19","390516.0","280389.4"
"2","A2","20","441859.1","280183.34"
"2","A2","21","510635.4","280123.03"
"2","A2","22","591158.8","280194.5"
"2","A2","23","677699.9","280126.0"
"2","A2","24","767010.8","279987.2"
"2","A2","25","853629.9","280024.38"
"2","A2","26","934942.0","279697.84"
"2","A2","27","1015749.56","279482.03"
"2","A2","28","1088337.4","279487.12"
"2","A2","29","1153161.0","279382.56"
