# File Name: HZ22_FEC_Crypto_Plate1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 07:33:16 AM UTC
# Run End Date/Time: 2022-09-25 08:34:01 AM UTC
# Run Duration: 60 minutes 45 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 12:02:04 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 12:02:25 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","350173.44","72084.31","297287.1"
"2","A2","1","333980.84","65110.996","276181.72"
"3","A3","1","302476.53","59837.805","263941.9"
"4","A4","1","374701.7","74664.05","358101.44"
"5","A5","1","305034.75","57195.375","276109.28"
"6","A6","1","345094.5","63910.535","321031.16"
"7","A7","1","328684.62","62422.59","293132.78"
"8","A8","1","328211.6","63677.438","319054.12"
"9","A9","1","291724.3","59592.97","288164.78"
"10","A10","1","329512.88","65617.1","287167.88"
"11","A11","1","295783.7","62259.746","263736.5"
"12","A12","1","284551.03","57787.72","231965.66"
"13","B1","1","318004.25","64439.562","270866.5"
"14","B2","1","296680.25","59240.88","283704.12"
"15","B3","1","252702.39","50937.58","243341.53"
"16","B4","1","323915.12","63051.875","301056.12"
"17","B5","1","328060.0","62648.527","314810.38"
"18","B6","1","283270.66","53133.656","271835.53"
"19","B7","1","306877.34","59380.742","302822.22"
"20","B8","1","298772.56","58694.402","295373.62"
"21","B9","1","234142.56","52511.723","260239.16"
"22","B10","1","260681.78","54133.82","272038.97"
"23","B11","1","250350.19","53987.06","250365.42"
"24","B12","1","251493.86","50787.14","213849.86"
"25","C1","1","332738.34","64036.742","285485.28"
"26","C2","1","313204.34","61144.375","285148.88"
"27","C3","1","268087.66","51431.324","250112.72"
"28","C4","1","317843.22","61815.832","304373.1"
"29","C5","1","315195.2","59644.336","297973.0"
"30","C6","1","281463.94","51165.434","261305.42"
"31","C7","1","316982.2","59959.234","313355.16"
"32","C8","1","281469.2","55535.438","300805.75"
"33","C9","1","231433.66","52709.973","268105.06"
"34","C10","1","270091.16","55843.152","289225.94"
"35","C11","1","301517.28","60300.227","275130.88"
"36","C12","1","212105.33","49894.656","222033.94"
"37","D1","1","349177.22","68482.51","302990.38"
"38","D2","1","311962.1","60238.3","280180.3"
"39","D3","1","316984.84","56044.027","255826.25"
"40","D4","1","309931.25","58322.508","291599.75"
"41","D5","1","301136.2","56270.043","295010.75"
"42","D6","1","276947.2","50835.47","270649.3"
"43","D7","1","296550.94","58206.934","313128.4"
"44","D8","1","281915.53","54182.875","305165.22"
"45","D9","1","265611.78","51777.902","277538.3"
"46","D10","1","275428.5","56440.863","286048.3"
"47","D11","1","247107.19","50123.473","246054.34"
"48","D12","1","253378.7","49970.777","216765.7"
"49","E1","1","371980.3","74227.81","308518.2"
"50","E2","1","330410.78","62886.293","282480.0"
"51","E3","1","261550.36","50837.332","247808.84"
"52","E4","1","292036.7","56133.27","276638.12"
"53","E5","1","277152.8","53021.63","268284.84"
"54","E6","1","280452.44","51921.27","275077.88"
"55","E7","1","305373.28","60968.105","320803.5"
"56","E8","1","299198.1","57825.008","308281.88"
"57","E9","1","247083.48","48260.617","245768.45"
"58","E10","1","282826.8","59854.434","293289.7"
"59","E11","1","284134.72","59254.633","276223.7"
"60","E12","1","275383.28","57793.332","245107.84"
"61","F1","1","374965.75","73621.33","305716.6"
"62","F2","1","330447.44","63820.562","279794.97"
"63","F3","1","272640.66","51543.215","247110.05"
"64","F4","1","326904.56","61730.004","308086.4"
"65","F5","1","265535.12","59119.125","353163.75"
"66","F6","1","264308.56","52379.133","270680.9"
"67","F7","1","298771.4","61297.13","316159.72"
"68","F8","1","277493.4","58333.266","306348.3"
"69","F9","1","250602.28","50054.773","252999.92"
"70","F10","1","279403.56","57005.945","284378.6"
"71","F11","1","285582.06","58660.05","271535.84"
"72","F12","1","258327.1","54758.098","245083.67"
"73","G1","1","354098.34","71890.766","298004.06"
"74","G2","1","317855.1","63369.56","276488.66"
"75","G3","1","260619.44","52909.363","247956.75"
"76","G4","1","303775.53","58862.04","283159.8"
"77","G5","1","293673.38","57387.87","276348.66"
"78","G6","1","241260.16","52317.74","256084.1"
"79","G7","1","285250.12","58671.375","297386.94"
"80","G8","1","308819.62","59661.85","291812.06"
"81","G9","1","270051.62","52689.16","262825.56"
"82","G10","1","285954.1","59691.945","294086.22"
"83","G11","1","281796.75","58625.773","268940.44"
"84","G12","1","258317.05","54419.633","225601.58"
"85","H1","1","368820.72","77612.42","298684.6"
"86","H2","1","328143.5","65975.266","276213.66"
"87","H3","1","280215.44","55740.547","238495.95"
"88","H4","1","326462.22","65881.67","294159.22"
"89","H5","1","333114.1","61768.492","281350.16"
"90","H6","1","257550.3","51140.24","245830.61"
"91","H7","1","327411.72","63888.242","306860.7"
"92","H8","1","343775.72","66314.625","302848.06"
"93","H9","1","281689.8","55686.08","258260.48"
"94","H10","1","301929.78","63709.85","298427.12"
"95","H11","1","299257.5","63276.24","268675.34"
"96","H12","1","262057.58","59499.613","251016.89"
"1","A1","2","349904.2","71394.94","296758.22"
"2","A2","2","335135.5","65303.383","277720.25"
"3","A3","2","307477.47","60675.777","265875.38"
"4","A4","2","378914.44","74300.89","361350.94"
"5","A5","2","306326.88","57067.344","276855.22"
"6","A6","2","352740.53","65091.01","324009.84"
"7","A7","2","330644.22","61980.625","295252.44"
"8","A8","2","330383.0","64252.49","321494.53"
"9","A9","2","294677.34","59172.94","289764.78"
"10","A10","2","331487.56","66557.375","290256.1"
"11","A11","2","296426.34","62106.33","264664.44"
"12","A12","2","285241.44","58732.4","231662.08"
"13","B1","2","315014.28","63229.56","270519.44"
"14","B2","2","295754.94","58808.555","283262.03"
"15","B3","2","256358.44","50401.566","244572.34"
"16","B4","2","329237.12","63073.016","301549.53"
"17","B5","2","329936.8","62146.996","315406.84"
"18","B6","2","289173.22","53771.76","274435.06"
"19","B7","2","309334.03","59463.504","303227.97"
"20","B8","2","303007.0","57814.953","295404.5"
"21","B9","2","237193.62","53054.668","262319.06"
"22","B10","2","260964.77","54270.387","272739.22"
"23","B11","2","250558.92","54632.094","251155.48"
"24","B12","2","251745.27","50333.355","216072.86"
"25","C1","2","329446.5","63564.91","284609.97"
"26","C2","2","318318.16","60932.414","285918.2"
"27","C3","2","269165.28","50124.613","250362.73"
"28","C4","2","320813.5","61610.348","305047.06"
"29","C5","2","320501.34","59352.562","298854.6"
"30","C6","2","285849.12","50670.406","262151.6"
"31","C7","2","321240.88","59942.855","313332.0"
"32","C8","2","284173.03","55331.21","300784.75"
"33","C9","2","233644.47","52605.035","269914.3"
"34","C10","2","272765.0","56287.22","290290.38"
"35","C11","2","302057.2","59941.01","275862.06"
"36","C12","2","215762.6","49970.086","223367.81"
"37","D1","2","350664.78","68564.38","302449.34"
"38","D2","2","316536.25","60583.375","281984.5"
"39","D3","2","321555.0","55699.902","256105.77"
"40","D4","2","312781.1","58662.164","291441.62"
"41","D5","2","305517.3","56955.926","296153.88"
"42","D6","2","277998.62","50438.062","270425.16"
"43","D7","2","298439.56","58562.375","313995.9"
"44","D8","2","284138.34","55602.473","305355.84"
"45","D9","2","265567.4","53011.57","278422.75"
"46","D10","2","280027.84","57711.6","286311.8"
"47","D11","2","249354.95","50435.137","246814.25"
"48","D12","2","253712.7","51240.01","217969.7"
"49","E1","2","371609.5","73208.27","309730.75"
"50","E2","2","333433.38","62599.95","283530.12"
"51","E3","2","264699.22","51826.57","250227.03"
"52","E4","2","294101.22","55366.566","278507.25"
"53","E5","2","283005.7","52754.547","270485.88"
"54","E6","2","280887.2","52103.72","275163.34"
"55","E7","2","307898.72","60870.11","321245.56"
"56","E8","2","300795.38","58866.457","308726.94"
"57","E9","2","251467.39","48798.727","247558.84"
"58","E10","2","287259.94","60378.44","294650.5"
"59","E11","2","285426.9","59444.72","277273.56"
"60","E12","2","277092.1","57830.266","247163.31"
"61","F1","2","375752.56","73723.72","306946.97"
"62","F2","2","333376.34","62619.14","280355.12"
"63","F3","2","275547.28","52203.855","247541.2"
"64","F4","2","333470.97","62809.605","308581.47"
"65","F5","2","270567.7","58472.414","353435.12"
"66","F6","2","267240.34","53073.37","272403.97"
"67","F7","2","302997.22","60146.477","316128.1"
"68","F8","2","280398.38","57881.434","306607.53"
"69","F9","2","254471.3","49826.15","254588.14"
"70","F10","2","282916.03","57877.85","285606.16"
"71","F11","2","288417.25","57017.273","272235.22"
"72","F12","2","257523.94","55819.688","245742.22"
"73","G1","2","356890.1","71573.56","298836.7"
"74","G2","2","322688.56","63953.46","277481.94"
"75","G3","2","264808.84","53421.04","248717.4"
"76","G4","2","311846.47","59708.285","284664.53"
"77","G5","2","298329.97","58301.95","277741.22"
"78","G6","2","245970.47","52304.59","257679.05"
"79","G7","2","290214.62","58035.82","298140.7"
"80","G8","2","315373.8","59184.21","292662.8"
"81","G9","2","276158.84","53214.93","264472.12"
"82","G10","2","289444.28","59661.36","295107.4"
"83","G11","2","284452.16","59004.883","269866.3"
"84","G12","2","262239.0","54248.574","226672.1"
"85","H1","2","362650.72","78529.63","299536.53"
"86","H2","2","324267.4","66010.55","277426.28"
"87","H3","2","286844.16","56087.555","240987.47"
"88","H4","2","329023.25","66520.164","295616.16"
"89","H5","2","338672.78","62846.227","284343.1"
"90","H6","2","260081.39","51553.28","248556.48"
"91","H7","2","325613.38","64187.734","308711.2"
"92","H8","2","345549.06","66272.07","305505.06"
"93","H9","2","285297.0","56850.55","259171.61"
"94","H10","2","303276.97","63720.2","300795.88"
"95","H11","2","298462.8","63094.902","269875.7"
"96","H12","2","260037.03","59708.504","253682.3"
"1","A1","3","345033.88","72980.17","300341.6"
"2","A2","3","337456.6","67405.945","277977.97"
"3","A3","3","305472.28","61515.543","266358.75"
"4","A4","3","380290.06","75654.76","363288.7"
"5","A5","3","309915.38","57550.96","278453.94"
"6","A6","3","361905.4","66062.664","326517.34"
"7","A7","3","335992.28","63628.07","296743.1"
"8","A8","3","332416.62","65213.547","321797.84"
"9","A9","3","296052.88","60566.676","291979.5"
"10","A10","3","332539.34","67234.34","292134.12"
"11","A11","3","299402.38","63085.598","264782.5"
"12","A12","3","288109.44","59869.258","233764.17"
"13","B1","3","319555.62","64321.887","271750.78"
"14","B2","3","299511.78","59225.344","283632.72"
"15","B3","3","255971.14","51631.207","245188.66"
"16","B4","3","335205.28","62609.707","302551.28"
"17","B5","3","334708.2","63382.41","316267.3"
"18","B6","3","291564.06","53330.438","275747.38"
"19","B7","3","310795.94","59923.047","305202.4"
"20","B8","3","302574.5","58550.516","296595.3"
"21","B9","3","235590.14","53208.926","262431.72"
"22","B10","3","263298.97","55127.66","273740.38"
"23","B11","3","254418.45","54315.37","251051.2"
"24","B12","3","249456.98","50831.215","216198.47"
"25","C1","3","331304.1","64467.55","285735.6"
"26","C2","3","317688.9","61703.965","286178.62"
"27","C3","3","270279.97","50702.383","251099.6"
"28","C4","3","323896.03","62259.59","305855.88"
"29","C5","3","319575.16","59775.95","299585.94"
"30","C6","3","284541.7","51436.156","261896.1"
"31","C7","3","320407.9","59608.83","314270.84"
"32","C8","3","285788.38","55198.41","301977.94"
"33","C9","3","236185.0","51885.51","270221.5"
"34","C10","3","273666.0","56832.215","290821.28"
"35","C11","3","304959.22","60554.906","276483.16"
"36","C12","3","214039.22","49527.137","225393.27"
"37","D1","3","353763.44","68550.03","304735.78"
"38","D2","3","318827.34","60018.676","281655.12"
"39","D3","3","325102.0","55545.324","257598.39"
"40","D4","3","312734.53","59387.812","293900.8"
"41","D5","3","305924.47","57262.2","297726.72"
"42","D6","3","280528.84","51269.16","271481.34"
"43","D7","3","300515.66","58062.664","315634.7"
"44","D8","3","285220.25","55988.277","306276.34"
"45","D9","3","269061.12","52039.05","279790.47"
"46","D10","3","282236.06","57261.99","286571.2"
"47","D11","3","251452.64","51104.42","247528.67"
"48","D12","3","254198.12","50560.355","218901.53"
"49","E1","3","368202.8","72987.125","310277.56"
"50","E2","3","335221.0","63291.324","284991.16"
"51","E3","3","267744.66","52280.117","250470.78"
"52","E4","3","295830.06","56212.938","279194.97"
"53","E5","3","280718.28","52907.113","270780.22"
"54","E6","3","297087.56","54942.06","287450.44"
"55","E7","3","307882.84","62031.688","323279.78"
"56","E8","3","301981.84","58170.855","309810.75"
"57","E9","3","251564.88","48642.062","248363.83"
"58","E10","3","288034.16","60884.445","295834.12"
"59","E11","3","284590.97","59707.836","277387.9"
"60","E12","3","275044.78","58089.582","249077.98"
"61","F1","3","377182.75","74550.61","307386.1"
"62","F2","3","338208.22","63974.285","280548.62"
"63","F3","3","276851.9","51445.605","247920.8"
"64","F4","3","334893.6","62414.11","309802.84"
"65","F5","3","273354.1","59609.26","355885.66"
"66","F6","3","269097.28","53298.22","272038.53"
"67","F7","3","305330.88","61160.504","317328.16"
"68","F8","3","283710.72","58211.723","307427.8"
"69","F9","3","256664.8","50618.27","255925.1"
"70","F10","3","284785.75","56522.15","286149.28"
"71","F11","3","289302.66","58135.703","272141.6"
"72","F12","3","259764.28","55226.883","245777.05"
"73","G1","3","355187.75","71769.53","299579.72"
"74","G2","3","319904.12","63573.63","276678.78"
"75","G3","3","264787.03","52494.527","249208.25"
"76","G4","3","310995.22","59791.465","285435.88"
"77","G5","3","302272.44","58993.02","278107.12"
"78","G6","3","245650.17","52443.21","258498.6"
