# File Name: HZ22_FEC_Crypto_Plate1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 07:33:16 AM UTC
# Run End Date/Time: 2022-09-25 08:34:01 AM UTC
# Run Duration: 60 minutes 45 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 12:02:04 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 12:02:25 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"10","Standard Curve","3","10.0","0","","","",
"153","Standard Curve","3","153.0","0","34.92191328331124","","",
"1221","Standard Curve","3","1221.0","0","34.42084743381517","1.713181472696033","0.9891057844317342",
"9765","Standard Curve","3","9765.0","0","31.128614041019745","0.5748736037733899","0.33190342988857696",
"5x10_6","Standard Curve","3","5000000.0","0","18.41993449308023","0.23840110418353386","0.1376409416754673",
"625.000","Standard Curve","3","625000.0","0","22.40275147045079","0.851859499443929","0.4918213113156923",
"78.125","Standard Curve","3","78125.0","0","26.855212499572378","0.5579257088910233","0.3221185582160451",
"AA_0958","Unknown","3","-","0","36.35523445607217","0.7456544748500519","0.4305038117771265",
"AA_0959","Unknown","3","-","0","","","",
"AA_0960","Unknown","3","-","0","32.7917660223651","0.2357799134907586","0.13612759652339618",
"AA_0962","Unknown","3","-","0","32.165203164233375","0.37287148109970175","0.21527744998604728",
"AA_0964","Unknown","3","-","0","32.44838271070565","0.18682661928128974","0.10786439893384037",
"AA_0965","Unknown","3","-","0","36.26796942365069","","",
"AA_0967","Unknown","3","-","0","25.747209327295383","0.5464484450170671","0.3154921568288561",
"AA_0968","Unknown","3","-","0","33.882908197587604","2.0190982336009764","1.1657269086898217",
"AA_0970","Unknown","3","-","0","26.478554478895543","0.4870060414935101","0.28117306915325213",
"AA_0971","Unknown","3","-","0","30.79607851949581","0.17763496176630453","0.1025575929932648",
"AA_0972","Unknown","3","-","0","19.112170525684764","1.477278964776287","0.852907407981761",
"AA_0973","Unknown","3","-","0","35.40972047929394","0.425016868502128","0.30053230983652585",
"AA_0974","Unknown","3","-","0","27.17085218760815","1.1160381942723356","0.6443449518890368",
"AA_0975","Unknown","3","-","0","31.45299594189497","0.5505727885756153","0.31787334769261444",
"AA_0976","Unknown","3","-","0","18.816091478404058","1.370397990536615","0.791199648733237",
"AA_0977","Unknown","3","-","0","35.625524205615115","1.2033105497487477","0.6947316698161561",
"AA_0980","Unknown","6","-","0","36.019004903064484","0.9111308040960376","0.4074700828705568",
"AA_0981","Unknown","3","-","0","","","",
"AA_0982","Unknown","3","-","0","37.86386186956409","0.6606809874004599","0.4671720063918891",
"AA_0983","Unknown","3","-","0","","","",
"AA_0984","Unknown","3","-","0","","","",
"AA_0986","Unknown","3","-","0","26.45348346569629","1.1230198156297844","0.6483757928591399",
"AA_0987","Unknown","3","-","0","29.602724548953535","1.4350396269324959","0.8285205149072566",
"NTC","NTC","3","-","0","","","",
