# File Name: HZ22_FEC_Crypto_Plate1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 07:33:16 AM UTC
# Run End Date/Time: 2022-09-25 08:34:01 AM UTC
# Run Duration: 60 minutes 45 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 12:02:04 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 12:02:25 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.58847808757124","18.41993449308023","0.9662676244855255","0.23840110418353386","","","true","0.20814213554275982","true","3","13","","","","","46.9591","0.9628936517788452","-4.191","73.2233990607112","1.230976036811489","0.21988143146605493","false"
"2","A2","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.524156406719122","18.41993449308023","0.970681751098452","0.23840110418353386","","","true","0.20814213554275982","true","3","12","","","","","46.9591","0.9628936517788452","-4.191","73.2233990607112","1.230976036811489","0.21988143146605493","false"
"3","A3","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.147168984950333","18.41993449308023","0.9770293520376211","0.23840110418353386","","","true","0.20814213554275982","true","3","13","","","","","46.9591","0.9628936517788452","-4.191","73.2233990607112","1.230976036811489","0.21988143146605493","false"
"4","A4","AA_0958","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","36.074876756599295","36.35523445607217","0.5552009609665717","0.7456544748500519","","","true","0.06726930992324373","true","3","32","","","","","","","","","","","false"
"5","A5","AA_0958","","Unknown","FAM","UNKNOWN","FAM","None","Amp","35.79039538679993","36.35523445607217","0.5088281704840198","0.7456544748500519","","","true","0.06726930992324373","true","3","32","","","","","","","","","","","false"
"6","A6","AA_0958","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.20043122481728","36.35523445607217","0.2346140601507666","0.7456544748500519","","","true","0.06726930992324373","true","3","32","","","","","","","","","","","false"
"7","A7","AA_0970","","Unknown","FAM","UNKNOWN","FAM","None","Amp","26.83305286065994","26.478554478895543","0.9418719268732962","0.4870060414935101","","","true","0.06726930992324373","true","3","23","","","","","","","","","","","false"
"8","A8","AA_0970","","Unknown","FAM","UNKNOWN","FAM","None","Amp","26.679356947771574","26.478554478895543","0.9802217157749307","0.4870060414935101","","","true","0.06726930992324373","true","3","23","","","","","","","","","","","false"
"9","A9","AA_0970","","Unknown","FAM","UNKNOWN","FAM","None","Amp","25.92325362825511","26.478554478895543","0.9328936547560339","0.4870060414935101","","","true","0.06726930992324373","true","3","22","","","","","","","","","","","false"
"10","A10","AA_0980","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","36.019004903064484","0.0","0.9111308040960376","","","true","0.06726930992324373","true","3","39","","","","","","","","","","","false"
