# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","340179.84","311034.7"
"1","A1","2","340649.8","311015.94"
"1","A1","3","339647.1","311085.84"
"1","A1","4","339502.94","311289.34"
"1","A1","5","340324.88","311482.47"
"1","A1","6","340872.38","311799.94"
"1","A1","7","340736.25","311824.34"
"1","A1","8","340652.03","311357.88"
"1","A1","9","341133.75","310838.3"
"1","A1","10","342267.0","310891.2"
"1","A1","11","342765.7","311587.4"
"1","A1","12","343211.62","311929.78"
"1","A1","13","345830.8","311945.75"
"1","A1","14","348755.03","312051.38"
"1","A1","15","350631.4","312751.7"
"1","A1","16","351002.6","312630.12"
"1","A1","17","348497.94","312483.06"
"1","A1","18","347792.6","312667.84"
"1","A1","19","349316.38","313064.88"
"1","A1","20","353301.97","313564.2"
"1","A1","21","355980.6","314174.66"
"1","A1","22","356561.66","314467.03"
"1","A1","23","356195.53","314377.97"
"1","A1","24","355727.44","314214.56"
"1","A1","25","355790.25","314344.16"
"1","A1","26","358153.8","314710.3"
"1","A1","27","360270.56","314703.94"
"1","A1","28","358697.0","314878.97"
