# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","382669.16","79149.336","311313.12"
"2","A2","1","355443.0","71010.71","291647.5"
"3","A3","1","324998.84","62466.25","268949.62"
"4","A4","1","344429.75","70110.81","339935.0"
"5","A5","1","304944.6","59293.508","292344.6"
"6","A6","1","314205.16","61933.246","310951.53"
"7","A7","1","290383.06","58746.957","276705.03"
"8","A8","1","326639.5","62292.76","308106.47"
"9","A9","1","279838.47","56684.816","283104.8"
"10","A10","1","283624.06","57405.246","253818.25"
"11","A11","1","279123.56","55804.027","238793.72"
"12","A12","1","274194.6","56822.324","226296.28"
"13","B1","1","342173.8","67729.805","284380.56"
"14","B2","1","298055.6","59349.945","276034.6"
"15","B3","1","269494.22","53823.17","244270.17"
"16","B4","1","325086.84","61026.043","296764.38"
"17","B5","1","323071.75","59635.367","293107.84"
"18","B6","1","274549.22","50947.93","265310.72"
"19","B7","1","276978.22","52189.316","266873.6"
"20","B8","1","258770.28","50233.727","254245.94"
"21","B9","1","224706.88","50286.887","254178.08"
"22","B10","1","267774.22","52540.42","254678.92"
"23","B11","1","263467.25","53394.9","242855.64"
"24","B12","1","258989.22","51392.957","218709.86"
"25","C1","1","325598.25","62879.97","287210.34"
"26","C2","1","321465.0","58639.508","270065.8"
"27","C3","1","266486.47","51538.996","250730.7"
"28","C4","1","329541.1","61655.14","299038.97"
"29","C5","1","312373.38","59522.37","289305.12"
"30","C6","1","295180.44","53128.234","273440.72"
"31","C7","1","276422.22","51666.67","273912.38"
"32","C8","1","248626.69","47955.91","254370.94"
"33","C9","1","205187.16","46631.65","235405.72"
"34","C10","1","274665.22","52639.414","259949.77"
"35","C11","1","307801.56","57589.617","255583.77"
"36","C12","1","247925.69","52558.113","224596.4"
"37","D1","1","311297.0","64902.156","293832.84"
"38","D2","1","294430.03","58376.297","264305.25"
"39","D3","1","275231.28","53501.875","252606.72"
"40","D4","1","321060.53","57649.066","275676.25"
"41","D5","1","296739.25","53458.605","282380.1"
"42","D6","1","269401.03","48302.773","256293.94"
"43","D7","1","275439.7","50415.043","272397.7"
"44","D8","1","264132.6","50379.07","279927.97"
"45","D9","1","257666.92","49893.098","263982.25"
"46","D10","1","311360.53","56579.55","265908.12"
"47","D11","1","295296.53","52556.207","240191.78"
"48","D12","1","272557.3","51728.4","207883.94"
"49","E1","1","343305.78","68732.164","290920.75"
"50","E2","1","313058.53","61177.164","274105.62"
"51","E3","1","266785.4","50983.03","248612.95"
"52","E4","1","310023.62","58093.19","285399.22"
"53","E5","1","308565.6","56989.94","290809.5"
"54","E6","1","311997.34","56278.82","292878.97"
"55","E7","1","293024.0","58215.07","300083.38"
"56","E8","1","265060.75","50460.35","264271.1"
"57","E9","1","264883.1","50436.375","257636.47"
"58","E10","1","310260.53","55381.934","252665.8"
"59","E11","1","316619.9","58150.28","248683.33"
"60","E12","1","297260.47","56213.332","222532.5"
"61","F1","1","347239.1","68182.04","284904.72"
"62","F2","1","291495.34","58942.316","263414.44"
"63","F3","1","251904.53","57363.277","232624.12"
"64","F4","1","327312.66","61455.71","287473.03"
"65","F5","1","264903.12","55556.63","325728.97"
"66","F6","1","266289.88","51277.598","256943.22"
"67","F7","1","280090.8","54616.78","279817.78"
"68","F8","1","236876.55","50308.81","251259.58"
"69","F9","1","253104.67","49969.367","247806.92"
"70","F10","1","21237.996","1577.9297","4647.9883"
"71","F11","1","33313.094","1107.5841","2535.6655"
"72","F12","1","16191.098","231.66652","488.9523"
"73","G1","1","344842.0","70698.8","288033.53"
"74","G2","1","323237.53","64528.906","279775.47"
"75","G3","1","241631.94","50893.96","227820.44"
"76","G4","1","318489.9","59184.297","269971.78"
"77","G5","1","302153.34","56555.36","260771.9"
"78","G6","1","234666.06","49111.523","227340.94"
"79","G7","1","287675.6","56987.83","283796.56"
"80","G8","1","268937.75","54054.08","255807.94"
"81","G9","1","233598.8","46901.574","225780.94"
"82","G10","1","18643.623","603.73444","2091.4736"
"83","G11","1","26248.922","1760.0852","3685.71"
"84","G12","1","16975.475","2304.8948","234.08055"
"85","H1","1","382256.62","87410.49","295391.44"
"86","H2","1","314946.4","63962.375","273507.34"
"87","H3","1","282761.9","55891.76","245033.36"
"88","H4","1","315627.0","65839.88","270495.34"
"89","H5","1","330810.12","71857.08","276800.94"
"90","H6","1","281959.03","51885.91","251531.47"
"91","H7","1","294331.84","56953.445","272735.88"
"92","H8","1","297349.28","59613.312","280162.34"
"93","H9","1","265518.78","53297.164","246770.25"
"94","H10","1","319454.62","58067.67","247095.88"
"95","H11","1","291818.38","56405.508","213528.53"
"96","H12","1","309951.78","61157.906","224640.1"
"1","A1","2","384568.28","77478.3","311120.88"
"2","A2","2","359359.22","69900.766","291791.97"
"3","A3","2","325730.3","62470.8","271074.0"
"4","A4","2","346286.56","69274.2","343223.7"
"5","A5","2","305274.78","58791.07","293834.8"
"6","A6","2","319608.78","60752.52","315039.44"
"7","A7","2","293357.5","59085.715","279690.1"
"8","A8","2","317791.12","60829.0","306309.4"
"9","A9","2","282732.1","57002.516","283327.16"
"10","A10","2","283279.72","56914.95","255480.5"
"11","A11","2","278118.44","55661.67","239003.12"
"12","A12","2","284070.03","57484.715","226475.88"
"13","B1","2","337769.03","68206.234","283486.2"
"14","B2","2","295046.4","59422.535","277525.06"
"15","B3","2","268978.12","54069.7","245029.48"
"16","B4","2","333527.9","62620.7","297577.25"
"17","B5","2","323921.84","59704.62","294336.38"
"18","B6","2","280168.56","52341.63","267048.5"
"19","B7","2","280568.16","53522.914","267246.88"
"20","B8","2","262043.84","51048.016","255366.14"
"21","B9","2","225419.55","51639.68","253982.81"
"22","B10","2","272406.44","53719.43","254897.08"
"23","B11","2","265703.4","53835.113","243452.69"
"24","B12","2","262988.1","54015.54","220360.86"
"25","C1","2","325387.78","63444.37","288003.62"
"26","C2","2","322194.25","59803.113","270504.72"
"27","C3","2","270254.3","51393.54","250587.81"
"28","C4","2","333532.28","62078.332","298714.94"
"29","C5","2","318602.4","60519.156","291123.0"
"30","C6","2","299020.3","53787.59","274670.28"
"31","C7","2","282336.7","51712.496","274179.03"
"32","C8","2","249383.28","47797.09","254202.39"
"33","C9","2","208301.36","47568.03","237186.45"
"34","C10","2","278195.3","53647.38","260370.98"
"35","C11","2","310951.78","58033.805","254551.83"
"36","C12","2","252404.83","53488.984","224858.55"
"37","D1","2","315423.0","64802.113","296428.62"
"38","D2","2","297821.03","59827.867","266407.84"
"39","D3","2","280030.56","54079.66","253502.05"
"40","D4","2","324755.22","57172.266","276193.34"
"41","D5","2","293784.8","53413.06","277760.4"
"42","D6","2","270414.72","48308.863","255384.75"
"43","D7","2","276114.94","51249.38","274092.94"
"44","D8","2","266865.38","50708.957","279190.9"
"45","D9","2","262613.2","50315.305","265147.84"
"46","D10","2","314781.88","57275.06","266146.34"
"47","D11","2","298540.9","53841.47","240586.42"
"48","D12","2","276268.16","51801.402","209101.61"
"49","E1","2","339947.5","69894.36","291502.3"
"50","E2","2","315613.75","61715.58","274922.6"
"51","E3","2","269378.7","51542.715","248787.05"
"52","E4","2","310859.0","58486.94","286346.2"
"53","E5","2","310153.4","58022.656","291590.7"
"54","E6","2","308786.4","55376.508","292939.03"
"55","E7","2","294317.16","58752.09","299875.06"
"56","E8","2","266801.66","50184.82","265030.7"
"57","E9","2","267143.72","50858.08","259418.83"
"58","E10","2","311982.9","56088.42","255088.94"
"59","E11","2","315580.1","57413.59","247859.42"
"60","E12","2","300624.94","56733.332","223317.67"
"61","F1","2","345131.16","68930.414","284290.53"
"62","F2","2","302445.12","61361.89","268353.5"
"63","F3","2","253048.72","55824.11","232779.33"
"64","F4","2","332507.88","61066.543","288619.78"
"65","F5","2","266339.53","54698.867","325465.97"
"66","F6","2","269765.4","51380.645","257398.86"
"67","F7","2","281244.1","55367.285","280314.34"
"68","F8","2","240715.95","49058.46","251639.22"
"69","F9","2","259624.97","49316.86","250367.1"
"70","F10","2","23395.791","1143.391","5186.4736"
"71","F11","2","30326.285","1560.0728","2878.9062"
"72","F12","2","15228.991","469.68054","204.52237"
"73","G1","2","346842.16","70396.805","287084.8"
"74","G2","2","322003.0","62694.21","279904.9"
"75","G3","2","241041.02","50027.69","228257.33"
"76","G4","2","322493.44","58612.227","270022.72"
"77","G5","2","302890.7","55997.492","262973.5"
"78","G6","2","236257.17","50426.695","229373.55"
"79","G7","2","291393.94","56841.59","285014.4"
"80","G8","2","271969.62","53174.535","256783.7"
"81","G9","2","235400.58","47256.715","227536.39"
"82","G10","2","19502.695","411.50784","1521.2914"
"83","G11","2","22683.025","1009.4949","3259.4138"
"84","G12","2","18459.453","1215.0935","347.25122"
"85","H1","2","378442.78","86986.945","296597.2"
"86","H2","2","317423.16","66279.98","275312.06"
"87","H3","2","281067.53","57084.91","246088.75"
"88","H4","2","319411.34","65389.207","272686.66"
"89","H5","2","331656.3","73212.875","278721.47"
"90","H6","2","285099.25","52418.086","252004.16"
"91","H7","2","290033.1","56907.76","273825.88"
"92","H8","2","296607.84","59687.676","279330.7"
"93","H9","2","267771.3","53602.016","245719.53"
"94","H10","2","324688.03","59003.727","248812.81"
"95","H11","2","291831.66","55925.46","215360.3"
"96","H12","2","312083.7","60014.613","225207.45"
"1","A1","3","384940.3","79078.83","311174.34"
"2","A2","3","359755.2","71056.09","292635.56"
"3","A3","3","327939.34","61735.062","270640.22"
"4","A4","3","350827.5","69645.18","343346.3"
"5","A5","3","307297.12","58887.035","295824.2"
"6","A6","3","324465.47","61827.574","317492.06"
"7","A7","3","297001.47","59562.723","282316.5"
"8","A8","3","318029.1","61885.15","306007.72"
"9","A9","3","285073.44","56708.387","283341.97"
"10","A10","3","289064.88","57055.54","256540.62"
"11","A11","3","278046.03","56426.695","238837.16"
"12","A12","3","280235.66","58761.742","226541.84"
"13","B1","3","339920.38","68114.25","284176.7"
"14","B2","3","295300.28","58890.37","276025.94"
"15","B3","3","270873.6","53659.902","245099.4"
"16","B4","3","336579.22","62550.125","297436.0"
"17","B5","3","329692.84","60047.953","294559.84"
"18","B6","3","280940.34","51734.58","267136.78"
"19","B7","3","283354.06","52550.1","266993.12"
"20","B8","3","264328.34","50264.92","256013.02"
"21","B9","3","227909.75","51275.945","255299.64"
"22","B10","3","272326.16","52710.76","255034.48"
"23","B11","3","269098.9","54556.375","242748.67"
"24","B12","3","260208.38","53022.363","220207.23"
