# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA_0989","Unknown","3","-","0","35.04727770067478","","",
"AA_0990","Unknown","3","-","0","26.583228078657225","1.2708424340562354","0.7337212213999668",
"AA_0991","Unknown","3","-","0","37.708232034198055","","",
"AA_0992","Unknown","3","-","0","36.74852245156309","","",
"AA_0993","Unknown","3","-","0","","","",
"AA_0994","Unknown","3","-","0","30.416357825196325","0.7987712287795656","0.4611707839568104",
"AA_0995","Unknown","3","-","0","32.14592853036249","1.4500592758192996","0.8371921132351865",
"AA_0996","Unknown","3","-","0","","","",
"AA_0997","Unknown","3","-","0","","","",
"AA_0998","Unknown","3","-","0","34.51905994246982","0.5996184595049117","0.3461898790062295",
"AA_0999","Unknown","3","-","0","37.855958924391295","0.3006304649833758","0.1735690798847544",
"AA_1000","Unknown","3","-","0","36.49185207492898","1.7325806589697994","1.0003059098489528",
"AA_1001","Unknown","3","-","0","34.62609550471431","0.9219585708264403","0.532293029048328",
"AA_1002","Unknown","3","-","0","32.53371158046176","0.43570103828113244","0.2515521117378113",
"AA_1003","Unknown","3","-","0","32.93376903158049","0.3799032516340225","0.21933724459691703",
"AA_1004","Unknown","3","-","0","34.68898088811722","0.5938829741914695","0.3428784950165805",
"AA_1007","Unknown","3","-","0","","","",
"AA_1008","Unknown","3","-","0","36.686058341806024","1.0133681428392878","0.585068370056454",
"AA_1009","Unknown","3","-","0","36.41336215565291","1.621701697437193","0.9362899115606365",
"AA_1010","Unknown","3","-","0","33.13383543849246","0.10799234303213806","0.06234940832002332",
"AA_1011","Unknown","3","-","0","35.39698225921259","","",
"AA_1012","Unknown","3","-","0","38.68553789723354","","",
"AA_1013","Unknown","3","-","0","","","",
"AA_1014","Unknown","3","-","0","27.359386222714488","0.3245311363750074","0.18736813894652568",
"AA_1015","Unknown","3","-","0","34.51522471290381","0.695593080915835","0.40160085251319855",
"AA_1016","Unknown","3","-","0","38.93097684853549","","",
"AA_1017","Unknown","3","-","0","29.348598981634325","0.8313492907396468","0.4799797367991396",
"AA_1018","Unknown","3","-","0","35.59611020033252","0.2554698424405395","0.18064445797836431",
"NTC","NTC","3","-","0","","","",
"ZZ_0093","Unknown","3","-","0","30.741080949996103","0.16317834914109314","0.09421106380252886",
