# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","AA_0989","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"2","A2","false","AA_0989","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"3","A3","false","AA_0989","Unknown","UNKNOWN","FAM","None","Amp","1.2063472880156647","","","35.04727770067478","0.8608851751132632","35.04727770067478","","true","0.03999999910593033","true","3","32"
"4","A4","false","AA_0997","Unknown","UNKNOWN","FAM","None","No Amp","0.5920473949141938","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"5","A5","false","AA_0997","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"6","A6","false","AA_0997","Unknown","UNKNOWN","FAM","None","No Amp","0.579780460304736","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"7","A7","false","AA_1007","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"8","A8","false","AA_1007","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"9","A9","false","AA_1007","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"10","A10","false","AA_1014","Unknown","UNKNOWN","FAM","None","Amp","1.3908505870911398","","","27.48134452401799","0.9431770382546455","27.359386222714488","0.3245311363750074","true","0.03999999910593033","true","3","25"
"11","A11","false","AA_1014","Unknown","UNKNOWN","FAM","None","Amp","1.3991530064208813","","","27.605270377190664","0.971013480129863","27.359386222714488","0.3245311363750074","true","0.03999999910593033","true","3","25"
"12","A12","false","AA_1014","Unknown","UNKNOWN","FAM","None","Amp","1.3998431677022485","","","26.99154376693481","0.8209719134759484","27.359386222714488","0.3245311363750074","true","0.03999999910593033","true","3","23"
"13","B1","false","AA_0990","Unknown","UNKNOWN","FAM","None","Amp","1.4141913990910628","","","27.41689719684433","0.8415088234224111","26.583228078657225","1.2708424340562354","true","0.03999999910593033","true","3","24"
"14","B2","false","AA_0990","Unknown","UNKNOWN","FAM","None","Amp","1.390348548378187","","","27.212236406059347","0.9633338078825553","26.583228078657225","1.2708424340562354","true","0.03999999910593033","true","3","24"
"15","B3","false","AA_0990","Unknown","UNKNOWN","FAM","None","Amp","1.3888695052889406","","","25.120550633068","0.8121699608937425","26.583228078657225","1.2708424340562354","true","0.03999999910593033","true","3","20"
"16","B4","false","AA_0998","Unknown","UNKNOWN","FAM","None","Amp","1.0353076859197035","","","35.11122168329072","0.6443532475999204","34.51905994246982","0.5996184595049117","true","0.03999999910593033","true","3","32"
"17","B5","false","AA_0998","Unknown","UNKNOWN","FAM","None","Amp","1.1077300148183062","","","33.9122530649246","0.8719287796415668","34.51905994246982","0.5996184595049117","true","0.03999999910593033","true","3","32"
"18","B6","false","AA_0998","Unknown","UNKNOWN","FAM","None","Amp","1.1333234206446148","","","34.53370507919415","0.776034382768759","34.51905994246982","0.5996184595049117","true","0.03999999910593033","true","3","32"
"19","B7","false","AA_1008","Unknown","UNKNOWN","FAM","None","Inconclusive","0.7188276996771843","","","36.92568316143728","0.2599050716567209","36.686058341806024","1.0133681428392878","true","0.03999999910593033","true","3","32"
"20","B8","false","AA_1008","Unknown","UNKNOWN","FAM","None","Inconclusive","0.7413523196798311","","","37.55813803916952","0.272403008695747","36.686058341806024","1.0133681428392878","true","0.03999999910593033","true","3","33"
"21","B9","false","AA_1008","Unknown","UNKNOWN","FAM","None","Inconclusive","0.8934340483473492","","","35.57435382481127","0.6304619996016797","36.686058341806024","1.0133681428392878","true","0.03999999910593033","true","3","32"
"22","B10","false","AA_1015","Unknown","UNKNOWN","FAM","None","Amp","1.1138854071840325","","","34.00078563685048","0.8521184385930263","34.51522471290381","0.695593080915835","true","0.03999999910593033","true","3","31"
"23","B11","false","AA_1015","Unknown","UNKNOWN","FAM","None","Inconclusive","0.7902735503371134","","","35.306639030005094","0.5567767601628019","34.51522471290381","0.695593080915835","true","0.03999999910593033","true","3","31"
"24","B12","false","AA_1015","Unknown","UNKNOWN","FAM","None","Amp","1.0269226587522309","","","34.23824947185584","0.8242872995262762","34.51522471290381","0.695593080915835","true","0.03999999910593033","true","3","31"
"25","C1","false","AA_0991","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"26","C2","false","AA_0991","Unknown","UNKNOWN","FAM","None","Inconclusive","0.5195302595172206","","","37.708232034198055","0.006899116617498094","37.708232034198055","","true","0.03999999910593033","true","3","34"
