# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","AA_0989","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","35.04727770067478","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"2","A2","AA_0989","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","35.04727770067478","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"3","A3","AA_0989","","Unknown","FAM","UNKNOWN","FAM","None","Amp","35.04727770067478","35.04727770067478","0.8608851751132632","","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"4","A4","AA_0997","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0997","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0997","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"7","A7","AA_1007","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"8","A8","AA_1007","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"9","A9","AA_1007","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"10","A10","AA_1014","","Unknown","FAM","UNKNOWN","FAM","None","Amp","27.48134452401799","27.359386222714488","0.9431770382546455","0.3245311363750074","","","true","0.03999999910593033","true","3","25","","","","","","","","","","","false"
"11","A11","AA_1014","","Unknown","FAM","UNKNOWN","FAM","None","Amp","27.605270377190664","27.359386222714488","0.971013480129863","0.3245311363750074","","","true","0.03999999910593033","true","3","25","","","","","","","","","","","false"
"12","A12","AA_1014","","Unknown","FAM","UNKNOWN","FAM","None","Amp","26.99154376693481","27.359386222714488","0.8209719134759484","0.3245311363750074","","","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"13","B1","AA_0990","","Unknown","FAM","UNKNOWN","FAM","None","Amp","27.41689719684433","26.583228078657225","0.8415088234224111","1.2708424340562354","","","true","0.03999999910593033","true","3","24","","","","","","","","","","","false"
"14","B2","AA_0990","","Unknown","FAM","UNKNOWN","FAM","None","Amp","27.212236406059347","26.583228078657225","0.9633338078825553","1.2708424340562354","","","true","0.03999999910593033","true","3","24","","","","","","","","","","","false"
"15","B3","AA_0990","","Unknown","FAM","UNKNOWN","FAM","None","Amp","25.120550633068","26.583228078657225","0.8121699608937425","1.2708424340562354","","","true","0.03999999910593033","true","3","20","","","","","","","","","","","false"
"16","B4","AA_0998","","Unknown","FAM","UNKNOWN","FAM","None","Amp","35.11122168329072","34.51905994246982","0.6443532475999204","0.5996184595049117","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"17","B5","AA_0998","","Unknown","FAM","UNKNOWN","FAM","None","Amp","33.9122530649246","34.51905994246982","0.8719287796415668","0.5996184595049117","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"18","B6","AA_0998","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.53370507919415","34.51905994246982","0.776034382768759","0.5996184595049117","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"19","B7","AA_1008","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","36.92568316143728","36.686058341806024","0.2599050716567209","1.0133681428392878","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"20","B8","AA_1008","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.55813803916952","36.686058341806024","0.272403008695747","1.0133681428392878","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"21","B9","AA_1008","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","35.57435382481127","36.686058341806024","0.6304619996016797","1.0133681428392878","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"22","B10","AA_1015","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.00078563685048","34.51522471290381","0.8521184385930263","0.695593080915835","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"23","B11","AA_1015","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","35.306639030005094","34.51522471290381","0.5567767601628019","0.695593080915835","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"24","B12","AA_1015","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.23824947185584","34.51522471290381","0.8242872995262762","0.695593080915835","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"25","C1","AA_0991","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.708232034198055","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"26","C2","AA_0991","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.708232034198055","37.708232034198055","0.006899116617498094","","","","true","0.03999999910593033","true","3","34","","","","","","","","","","","false"
"27","C3","AA_0991","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.708232034198055","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"28","C4","AA_0999","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.65057304586868","37.855958924391295","0.5675671735350868","0.3006304649833758","","","true","0.03999999910593033","true","3","35","","","","","","","","","","","false"
"29","C5","AA_0999","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","38.20101761443589","37.855958924391295","0.3113945524717792","0.3006304649833758","","","true","0.03999999910593033","true","3","35","","","","","","","","","","","false"
"30","C6","AA_0999","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.71628611286932","37.855958924391295","0.4209142259070998","0.3006304649833758","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"31","C7","AA_1009","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","36.345407625013564","36.41336215565291","0.5883467138115365","1.621701697437193","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"32","C8","AA_1009","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","38.067972948885476","36.41336215565291","0.08895491283573309","1.621701697437193","","","true","0.03999999910593033","true","3","34","","","","","","","","","","","false"
"33","C9","AA_1009","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","34.826705893059675","36.41336215565291","0.7171349846789475","1.621701697437193","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"34","C10","AA_1016","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","38.93097684853549","38.93097684853549","0.013071742690587734","","","","true","0.03999999910593033","true","3","36","","","","","","","","","","","false"
