"","Mouse_ID","Address","Latitude","Longitude","Sex","Feces_weight_Extraction","Extraction_Date","FEC_DNA_Content_ng.microliter","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","HI","HI_NLoci","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","FEC_Crypto_Ct","Oocyst_Predict_Crypto_FEC","OPG"
"917","AA_0958","Zehdenicker Str. 11, Joachimstal",52.97852,13.733054,"M",0.017,"23.09.2022",158.3,2022,29.75,TRUE,NA,NA,NA,NA,NA,NA,NA,36.36,86,5058.82352941176
"918","AA_0959","Königlich Reetz 14",52.7747,14.1525,"M",0.0077,"23.09.2022",150.5,2022,18.31,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"924","AA_0965","Zehdenicker Str. 8, Joachimstal",52.978408,13.733637,"F",0.027,"23.09.2022",124.6,2022,31.49,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"932","AA_0973","Zehdenicker Str. 8, Joachimstal",52.978408,13.733637,"F",0.009,"23.09.2022",203,2022,32.04,TRUE,NA,NA,NA,NA,NA,NA,NA,35.41,165,18333.3333333333
"939","AA_0980","Alt-Gielsdorf 67",52.6053,13.8756,"F",0.026,"24.09.2022",14,2022,17.45,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"940","AA_0981","Alt-Gielsdorf 67",52.6053,13.8756,"F",0.0165,"24.09.2022",129.4,2022,18.78,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"941","AA_0982","Alt-Gielsdorf 67",52.6053,13.8756,"F",0.0368,"24.09.2022",130.4,2022,24.77,TRUE,NA,NA,NA,NA,NA,NA,NA,37.86,31,842.391304347826
"942","AA_0983","Alt-Gielsdorf 67",52.6053,13.8756,"F",0.0483,"24.09.2022",159.5,2022,24.17,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"943","AA_0984","Alt-Gielsdorf 67",52.6053,13.8756,"M",0.0285,"24.09.2022",168.3,2022,23.95,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"955","AA_0996","Langer Landweg",52.6179,13.8776,"M",0.0251,"24.09.2022",122.9,2022,31.25,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"956","AA_0997","Bunzelweg 9",52.47347,13.69029,"F",0.0104,"24.09.2022",12.5,2022,31.82,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"966","AA_1007","Danewitzer Weg 2",52.737079,13.659532,"F",0.0177,"24.09.2022",89.3,2022,26.07,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"970","AA_1011","Wriezener Str.1",52.7636,14.1628,"M",0.0785,"25.09.2022",121.3,2022,31.08,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"971","AA_1012","Wriezener Str.1",52.7636,14.1628,"F",0.0332,"25.09.2022",160.1,2022,26.29,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"972","AA_1013","Wriezener Str.1",52.7636,14.1628,"F",0.1039,"25.09.2022",38.6,2022,30,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"975","AA_1016","Schönbeckstr. 21",52.9758,13.7317,"F",0.03,"25.09.2022",88,2022,29.79,TRUE,NA,NA,NA,NA,NA,NA,NA,38.93,15,500
"978","AA_1020","Walther Ratenau Str. 12",52.384046,13.76054,"F",0.012,"26.09.2022",21.5,2022,33.23,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"982","AA_1024","Zehdenicker Str. 8C",52.979407,13.73026,"M",0.046,"26.09.2022",39.3,2022,24.47,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"990","AA_1033","Serwester Hühnerhof",52.93356,13.93226,"F",0.0394,"28.09.2022",45.6,2022,35.89,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"991","AA_1034","Serwester Hühnerhof",52.93356,13.93226,"M",0.0241,"28.09.2022",9.6,2022,0,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
"1026","CB_001","Alt-Gielsdorf 67",52.6053,13.8756,"M",0.0612,"26.09.2022",239.1,2022,25.69,TRUE,NA,NA,NA,NA,NA,NA,NA,38.64,18,294.117647058824
