Mouse_ID,Feces_weight_Extraction,Feces_weight,hydrated,Extraction_Sample,Extraction_Date,FEC_DNA_Content_ng/microliter,DNA_Dilution_ng/microliter,dest_Water,MC.Eimeria.FEC.vis
AA_0958,0.0170,0.2104,F,FEC,23.09.2022,156.6,16.0,34.0,T
AA_0959,0.0077,0.0333,F,FEC,23.09.2022,150.9,16.6,33.4,T
AA_0960,0.0380,0.5593,F,FEC,23.09.2022,129.0,19.4,30.6,T
AA_0961,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0962,0.0212,0.3333,F,FEC,23.09.2022,58.8,42.5,7.5,T
AA_0963,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0964,0.0159,0.2895,F,FEC,23.09.2022,159.1,15.7,34.3,F
AA_0965,0.0270,0.0261,F,FEC,23.09.2022,125.3,20.0,30.0,T
AA_0966,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0967,0.0212,0.1812,F,FEC,23.09.2022,142.0,17.6,32.4,T
AA_0968,0.0188,0.0915,F,FEC,23.09.2022,140.3,17.8,32.2,T
AA_0969,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0970,0.0091,0.0611,F,FEC,23.09.2022,209.3,11.9,38.1,T
AA_0971,0.0287,0.1394,F,FEC,23.09.2022,182.9,13.7,36.3,F
AA_0972,0.0578,0.0806,TRUE,FEC,23.09.2022,197.7,12.6,37.4,F
AA_0973,0.0090,0.1415,F,FEC,23.09.2022,203.3,12.3,37.7,T
AA_0974,0.0265,0.1524,F,FEC,23.09.2022,254.50,9.8,40.2,T
AA_0975,0.0096,0.0090,F,FEC,23.09.2022,177.4,14.1,35.9,F
AA_0976,0.0168,0.2087,F,FEC,23.09.2022,183.7,13.6,36.4,F
AA_0977,0.0461,0.2024,F,FEC,23.09.2022,121.0,20.7,29.3,F
AA_0978,NA,NA,NA,FEC,NA,NA,NA,NA,
AA_0979,0.0140,0.3010,F,FEC,24.09.2022,165.7,15.1,34.9,T
AA_0980,0.0260,0.1290,F,FEC,24.09.2022,14.0,178.6,-128.6,T
AA_0981,0.0165,0.0384,F,FEC,24.09.2022,129.4,19.3,30.7,T
AA_0982,0.0368,0.2626,F,FEC,24.09.2022,130.4,19.2,30.8,T
AA_0983,0.0483,0.3573,F,FEC,24.09.2022,159.5,15.7,34.3,T
AA_0984,0.0285,0.1912,F,FEC,24.09.2022,168.3,14.9,35.1,T
AA_0985,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0986,0.0257,0.2290,F,FEC,24.09.2022,131.7,19.0,31.0,T
AA_0987,0.0228,0.2987,F,FEC,24.09.2022,126.3,19.8,30.2,F
AA_0988,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0989,0.0170,0.1894,F,FEC,24.09.2022,118.6,21.1,28.9,F
AA_0990,0.0147,0.4041,F,FEC,24.09.2022,79.4,31.5,18.5,F
AA_0991,0.0112,0.2546,F,FEC,24.09.2022,61.1,40.9,9.1,F
AA_0992,0.0172,0.1047,F,FEC,24.09.2022,92.7,27.0,23.0,F
AA_0993,0.0161,0.1500,F,FEC,24.09.2022,49.8,50.2,-0.2,F
