Mouse_ID,Feces_weight_Extraction,Feces_weight,hydrated,Extraction_Sample,Extraction_Date,DNA_Dilution_ng/microliter,dest_Water,FEC_DNA_Content_ng/microliter,Nanodrop_1,Nanodrop_2,Crypto_pos,FEC_Crypto_Ct,Crypto_Ct1,Crypto_Ct2,Crypto_Ct3,Eim_pos,MC.Eimeria,Ct.Eimeria,Eim_Ct1,Eim_Ct2,Eim_Ct3,Eim_Ct4,Eim_Ct5,Eim_Ct6
AA_0958,0.0170,0.2104,F,FEC,23.09.2022,15.8,34.2,158.3,156.6,159.9,TRUE,36.36,36.08,35.79,37.20,TRUE,TRUE,29.75,30.49,30.51,28.24,,,
AA_0959,0.0077,0.0333,F,FEC,23.09.2022,16.6,33.4,150.5,150.9,150.1,FALSE,0.00,0.00,0.00,0.00,TRUE,TRUE,18.31,19.20,18.77,16.98,,,
AA_0960,0.0380,0.5593,F,FEC,23.09.2022,20.0,30.0,125.1,129.0,121.2,TRUE,32.79,32.80,32.55,33.02,TRUE,TRUE,30.81,31.87,31.53,29.03,,,
AA_0961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0962,0.0212,0.3333,F,FEC,23.09.2022,44.2,5.8,56.6,58.8,54.4,TRUE,32.17,31.78,32.52,32.20,TRUE,TRUE,30.44,31.21,30.78,29.32,,,
AA_0963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0964,0.0159,0.2895,F,FEC,23.09.2022,15.5,34.5,161.6,159.1,164.1,TRUE,32.45,32.23,32.55,32.57,FALSE,FALSE,38.19,37.94,0.00,38.43,,,
AA_0965,0.0270,0.0261,F,FEC,23.09.2022,20.1,29.9,124.6,125.3,123.9,TRUE,36.27,0.00,36.27,0.00,TRUE,TRUE,31.49,32.83,31.18,30.47,,,
AA_0966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0967,0.0212,0.1812,F,FEC,23.09.2022,17.6,32.4,142.3,142.0,142.6,TRUE,25.75,26.11,26.01,25.12,TRUE,TRUE,17.73,18.59,17.79,16.81,,,
AA_0968,0.0188,0.0915,F,FEC,23.09.2022,17.9,32.1,139.7,140.3,139.1,TRUE,33.88,32.46,33.00,36.19,TRUE,TRUE,17.95,18.16,18.41,17.27,,,
AA_0969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0970,0.0091,0.0611,F,FEC,23.09.2022,11.9,38.1,209.5,209.3,209.7,TRUE,26.48,26.83,26.68,25.92,TRUE,TRUE,21.87,22.58,22.39,20.65,,,
AA_0971,0.0287,0.1394,F,FEC,23.09.2022,13.8,36.2,181.6,182.9,180.2,TRUE,30.80,30.94,30.86,30.60,TRUE,FALSE,37.13,36.45,37.81,0.00,,,
AA_0972,0.0578,0.0806,TRUE,FEC,23.09.2022,12.6,37.4,198.9,197.7,200.1,TRUE,19.11,20.27,19.62,17.45,FALSE,FALSE,0.00,0.00,0.00,0.00,,,
AA_0973,0.0090,0.1415,F,FEC,23.09.2022,12.3,37.7,203.0,203.3,202.6,TRUE,35.41,35.11,35.71,0.00,TRUE,TRUE,32.04,32.01,32.87,31.23,,,
AA_0974,0.0265,0.1524,F,FEC,23.09.2022,10.0,40.0,249.9,254.50,245.2,TRUE,27.17,27.78,27.85,25.88,TRUE,TRUE,22.05,22.69,22.50,20.97,,,
AA_0975,0.0096,0.0090,F,FEC,23.09.2022,14.0,36.0,178.1,177.4,178.7,TRUE,31.45,32.07,31.28,31.01,FALSE,FALSE,37.80,37.07,37.08,39.23,,,
AA_0976,0.0168,0.2087,F,FEC,23.09.2022,13.6,36.4,183.7,183.7,183.6,TRUE,18.82,19.86,19.33,17.26,FALSE,FALSE,0.00,0.00,0.00,0.00,,,
AA_0977,0.0461,0.2024,F,FEC,23.09.2022,20.9,29.1,119.5,121.0,118.0,TRUE,35.63,36.96,35.28,34.63,FALSE,FALSE,0.00,0.00,0.00,0.00,,,
AA_0978,NA,NA,NA,FEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0979,0.0140,0.3010,F,FEC,24.09.2022,15.1,34.9,165.7,165.7,-,TRUE,35.17,0.00,35.53,34.80,TRUE,TRUE,18.77,18.50,19.31,18.50,,,
AA_0980,0.0260,0.1290,F,FEC,24.09.2022,178.6,-128.6,14.0,14.0,-,TRUE,36.59,36.92,36.91,35.94,TRUE,TRUE,17.45,17.45,17.83,17.08,,,
AA_0981,0.0165,0.0384,F,FEC,24.09.2022,19.3,30.7,129.4,129.4,-,FALSE,0.00,0.00,0.00,0.00,TRUE,TRUE,18.78,18.51,18.74,19.09,,,
