"","Mouse_ID","Address","Address_ZIP","Latitude","Longitude","Trap_Date","Dissection_Date","Sex","Status","Body_Weight","Body_Length","Tail_Length","Spleen","Feces_Weight","Dead_in_Cage","Worms_presence","Left_Embryo","Right_Embryo","Ectoparasites_Logical","Fleas","Ticks","Note","Area","Trap_set_date","Trap_set_time","Trap_number","Trap_collect_date","Trap_collect_time","Rodents_caught","Mus_caught","Feces_weight_Extraction","Feces_weight","hydrated","Extraction_Sample","Extraction_Date","FEC_DNA_Content_ng.microliter","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs","Task","Tm1","Tm2","Tm3","Tm4","FEC_Eim_Ct1","FEC_Eim_Ct2","FEC_Eim_Ct3","HI","HI_NLoci","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","FEC_Crypto_Ct","FEC_Crypto_Ct1","FEC_Crypto_Ct2","FEC_Crypto_Ct3","Oocyst_Predict_Crypto_FEC"
"917","AA_0958","Zehdenicker Str. 11, Joachimstal",NA,52.97852,13.733054,"20/09/2022","22/09/2022","M","adult",12.16,80,70,0.035,NA,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.2104,FALSE,"FEC","23.09.2022",158.3,2022,29.75,TRUE,NA,NA,NA,NA,"UNKNOWN",75.5376358032227,NA,NA,NA,30.4909610024071,30.5149335931034,28.2407591696963,NA,NA,NA,NA,NA,36.36,36.0748767565993,35.7903953867999,37.2004312248173,86
"918","AA_0959","Königlich Reetz 14",NA,52.7747,14.1525,"20/09/2022","22/09/2022","M","young",9.9,71,74,0.027,NA,NA,NA,NA,NA,NA,NA,NA,"no cowe, colon wall ended up somewhere else!","SE","20/09/2022","15:10",12,"21/09/2022","08:50",7,7,0.0077,0.0333,FALSE,"FEC","23.09.2022",150.5,2022,18.31,TRUE,NA,NA,NA,NA,"UNKNOWN",75.2358169555664,NA,NA,NA,19.1957887508822,18.7710555377269,16.97764747297,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"919","AA_0960","Königlich Reetz 14",NA,52.7747,14.1525,"20/09/2022","22/09/2022","F","adult",14.99,83,77,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE","20/09/2022","15:10",12,"21/09/2022","08:50",7,7,0.038,0.5593,FALSE,"FEC","23.09.2022",125.1,2022,30.81,TRUE,NA,NA,NA,NA,"UNKNOWN",75.3867263793945,NA,NA,NA,31.8729853944805,31.5315368544518,29.0267188464485,NA,NA,NA,NA,NA,32.79,32.8036365887943,32.5502750454274,33.0213864328736,974
"921","AA_0962","Königlich Reetz 14",NA,52.7747,14.1525,"20/09/2022","22/09/2022","F","adult",14.38,88,77,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE","20/09/2022","15:10",12,"21/09/2022","08:50",7,7,0.0212,0.3333,FALSE,"FEC","23.09.2022",56.6,2022,30.44,TRUE,NA,NA,NA,NA,"UNKNOWN",75.2358169555664,NA,NA,NA,31.2106386127261,30.7796369201449,29.3181028271966,NA,NA,NA,NA,NA,32.17,31.7759816675794,32.519228815642,32.2003990094786,1483
"923","AA_0964","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","F","adult",13.71,84,75,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0159,0.2895,FALSE,"FEC","23.09.2022",161.6,2022,38.19,FALSE,NA,NA,NA,NA,"UNKNOWN",80.9703674316406,84.2903594970703,78.7067260742188,82.3285446166992,37.9400626540037,NA,38.4342437553014,NA,NA,NA,NA,NA,32.45,32.2329381613692,32.546517478239,32.5656924925087,1227
"924","AA_0965","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","F","adult",13.87,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,0.0261,FALSE,"FEC","23.09.2022",124.6,2022,31.49,TRUE,NA,NA,NA,NA,"UNKNOWN",74.9339981079102,NA,NA,NA,32.830418509182,31.175377065097,30.466010568666,NA,NA,NA,NA,NA,0,NA,36.2679694236507,NA,0
"926","AA_0967","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022",NA,"adult",17.31,83,67,0.0499,NA,NA,TRUE,NA,NA,NA,NA,NA,"worms in caecum, Mastophorus in Stomach",NA,NA,NA,NA,NA,NA,NA,NA,0.0212,0.1812,FALSE,"FEC","23.09.2022",142.3,2022,17.73,TRUE,NA,NA,NA,NA,"UNKNOWN",75.0849075317383,NA,NA,NA,18.5881470856019,17.7876408017118,16.8067805309838,NA,NA,NA,NA,NA,25.75,26.1118999381453,26.0107972812602,25.1189307624807,114665
"927","AA_0968","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","F","adult",17.61,80,63,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188,0.0915,FALSE,"FEC","23.09.2022",139.7,2022,17.95,TRUE,NA,NA,NA,NA,"UNKNOWN",75.3867263793945,NA,NA,NA,18.1628265001857,18.411184257568,17.272765560977,NA,NA,NA,NA,NA,33.88,32.4580664299604,32.9971654071021,36.1934927557003,465
"929","AA_0970","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","F","adult",17.57,90,73,0.00322,NA,NA,TRUE,NA,NA,NA,NA,NA,"worms in caecum",NA,NA,NA,NA,NA,NA,NA,NA,0.0091,0.0611,FALSE,"FEC","23.09.2022",209.5,2022,21.87,TRUE,NA,NA,NA,NA,"UNKNOWN",75.2358169555664,NA,NA,NA,22.5818272867845,22.3893385152093,20.6532757135152,NA,NA,NA,NA,NA,26.48,26.8330528606599,26.6793569477716,25.9232536282551,69941
"930","AA_0971","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","M","adult",19.19,89,83,0.03694,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287,0.1394,FALSE,"FEC","23.09.2022",181.6,2022,37.13,FALSE,NA,NA,NA,NA,"UNKNOWN",76.5940017700195,67.6930999755859,92.7597503662109,NA,36.445907476204,37.8075232440046,NA,NA,NA,NA,NA,NA,30.8,30.9361993091149,30.8557440005909,30.5962922487817,3751
