"","GeneID","Chr","n.866","n.942","n.900","n.IXa","meanDiv","StDev"
"1","CTYZ_00003580","Ctyz_1",1,1,1,1,1,0
"2","CTYZ_00003581","Ctyz_1",3,4,1,1,2.25,1.5
"3","CTYZ_00003582","Ctyz_1",8,7,1,1,4.25,3.77
"4","CTYZ_00003584","Ctyz_1",1,4,NA,NA,2.5,2.12
"5","CTYZ_00003588","Ctyz_1",2,2,NA,NA,2,0
"6","CTYZ_00003589","Ctyz_1",3,4,1,1,2.25,1.5
"7","CTYZ_00003590","Ctyz_1",1,3,NA,NA,2,1.41
"8","CTYZ_00003591","Ctyz_1",5,7,NA,4,5.33,1.53
"9","CTYZ_00003592","Ctyz_1",4,4,4,7,4.75,1.5
"10","CTYZ_00003594","Ctyz_1",1,4,NA,3,2.67,1.53
"11","CTYZ_00003595","Ctyz_1",1,2,NA,2,1.67,0.58
"12","CTYZ_00003596","Ctyz_1",21,3,1,8,8.25,9
"13","CTYZ_00003599","Ctyz_1",5,3,1,3,3,1.63
"14","CTYZ_00003600","Ctyz_1",2,1,1,1,1.25,0.5
"15","CTYZ_00003602","Ctyz_1",1,2,NA,1,1.33,0.58
"16","CTYZ_00003603","Ctyz_1",5,8,5,5,5.75,1.5
"17","CTYZ_00003604","Ctyz_1",2,2,NA,2,2,0
"18","CTYZ_00003605","Ctyz_1",1,1,2,1,1.25,0.5
"19","CTYZ_00003606","Ctyz_1",1,1,NA,NA,1,0
"20","CTYZ_00003607","Ctyz_1",2,1,NA,1,1.33,0.58
"21","CTYZ_00003609","Ctyz_1",3,3,2,2,2.5,0.58
"22","CTYZ_00003610","Ctyz_1",3,3,1,3,2.5,1
"23","CTYZ_00003614","Ctyz_1",3,2,1,1,1.75,0.96
"24","CTYZ_00003615","Ctyz_1",2,1,NA,2,1.67,0.58
"25","CTYZ_00003616","Ctyz_1",3,3,NA,1,2.33,1.15
"26","CTYZ_00003617","Ctyz_1",1,NA,2,NA,1.5,0.71
"27","CTYZ_00003618","Ctyz_1",1,1,NA,1,1,0
"28","CTYZ_00003619","Ctyz_1",3,1,2,1,1.75,0.96
"29","CTYZ_00003620","Ctyz_1",1,1,1,1,1,0
"30","CTYZ_00003621","Ctyz_1",2,2,1,3,2,0.82
"31","CTYZ_00003624","Ctyz_1",1,NA,1,1,1,0
"32","CTYZ_00003625","Ctyz_1",3,NA,1,1,1.67,1.15
"33","CTYZ_00003626","Ctyz_1",1,7,NA,8,5.33,3.79
"34","CTYZ_00003627","Ctyz_1",10,8,NA,6,8,2
"35","CTYZ_00003628","Ctyz_1",53,125,31,124,83.25,48.47
"36","CTYZ_00003631","Ctyz_1",1,2,NA,NA,1.5,0.71
"37","CTYZ_00003632","Ctyz_1",2,NA,NA,NA,2,NA
"38","CTYZ_00003633","Ctyz_1",1,1,NA,1,1,0
"39","CTYZ_00003636","Ctyz_1",2,2,NA,1,1.67,0.58
"40","CTYZ_00003637","Ctyz_1",20,16,NA,17,17.67,2.08
"41","CTYZ_00003638","Ctyz_1",7,23,10,8,12,7.44
"42","CTYZ_00003641","Ctyz_1",1,3,1,NA,1.67,1.15
"43","CTYZ_00003642","Ctyz_1",28,19,4,43,23.5,16.34
"44","CTYZ_00003643","Ctyz_1",1,1,1,1,1,0
"45","CTYZ_00003645","Ctyz_1",7,27,18,7,14.75,9.67
"46","CTYZ_00003646","Ctyz_1",2,1,NA,1,1.33,0.58
"47","CTYZ_00003647","Ctyz_1",12,10,4,9,8.75,3.4
"48","CTYZ_00003648","Ctyz_1",1,NA,NA,NA,1,NA
"49","CTYZ_00003649","Ctyz_1",1,3,NA,3,2.33,1.15
"50","CTYZ_00003650","Ctyz_1",1,NA,NA,1,1,0
"51","CTYZ_00003651","Ctyz_1",2,4,1,3,2.5,1.29
"52","CTYZ_00003652","Ctyz_1",3,1,NA,2,2,1
"53","CTYZ_00003653","Ctyz_1",1,NA,NA,1,1,0
"54","CTYZ_00003654","Ctyz_1",8,12,4,7,7.75,3.3
"55","CTYZ_00003655","Ctyz_1",1,2,1,2,1.5,0.58
"56","CTYZ_00003657","Ctyz_1",2,2,NA,1,1.67,0.58
"57","CTYZ_00003658","Ctyz_1",1,1,NA,1,1,0
"58","CTYZ_00003659","Ctyz_1",1,1,NA,1,1,0
"59","CTYZ_00003660","Ctyz_1",23,35,13,23,23.5,9
"60","CTYZ_00003661","Ctyz_1",6,3,1,2,3,2.16
"61","CTYZ_00003664","Ctyz_1",6,10,5,7,7,2.16
"62","CTYZ_00003665","Ctyz_1",2,6,2,3,3.25,1.89
"63","CTYZ_00003669","Ctyz_1",1,1,1,1,1,0
"64","CTYZ_00003670","Ctyz_1",1,2,NA,1,1.33,0.58
"65","CTYZ_00003673","Ctyz_1",1,2,NA,1,1.33,0.58
"66","CTYZ_00003674","Ctyz_1",1,1,NA,1,1,0
"67","CTYZ_00003675","Ctyz_1",1,2,NA,2,1.67,0.58
