"","GeneID","Chr","FeatureType","Product","meanDiversity","StDev","ChangesSum.866","ChangesSum.942","ChangesSum.900","ChangesSum.IXa","SNPs.866","SNPs.942","SNPs.900","SNPs.IXa","AmSNPs.866","AmSNPs.942","AmSNPs.900","AmSNPs.IXa","INS.866","INS.942","INS.900","INS.IXa","DEL.866","DEL.942","DEL.900","DEL.IXa"
"1","CTYZ_00000001","Ctyz_8","CDS","Uncharacterized[space]protein",3.25,1.5,4,4,1,4,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CTYZ_00000002","Ctyz_8","CDS","putative[space]Secreted[space]Protein",15.75,5.12,15,21,9,18,15,21,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"3","CTYZ_00000003","Ctyz_8","CDS",NA,6,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CTYZ_00000004","Ctyz_8","CDS","putative[space]Secreted[space]Protein",10.33,0.58,11,10,NA,10,8,10,NA,9,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA
"5","CTYZ_00000005","Ctyz_8","CDS","putative[space]Secreted[space]Protein",22.5,18.16,15,49,8,18,14,49,8,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"6","CTYZ_00000006","Ctyz_8","CDS","putative[space]Secreted[space]Protein",9.25,4.57,10,15,8,4,10,15,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CTYZ_00000007","Ctyz_8","CDS","Uncharacterized[space]Protein",8.25,2.5,5,9,8,11,5,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CTYZ_00000008","Ctyz_8","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CTYZ_00000009","Ctyz_8","CDS","Transmembrane[space]amino[space]acid[space]transporter[space]protein",2.25,0.5,2,2,3,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CTYZ_00000010","Ctyz_8","CDS",NA,15.33,15.95,NA,33,11,2,NA,32,10,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"11","CTYZ_00000011","Ctyz_8","CDS","Uncharacterized[space]protein",1.67,1.15,3,NA,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"12","CTYZ_00000013","Ctyz_8","CDS","Uncharacterized[space]protein",3.5,1.29,2,5,3,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CTYZ_00000015","Ctyz_8","CDS","Uncharacterized[space]protein",5,1.63,5,5,3,7,5,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"14","CTYZ_00000016","Ctyz_8","CDS",NA,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CTYZ_00000017","Ctyz_8","CDS","Ubiquitin[space]activating[space]enzyme[space]E1",3,2,1,5,NA,3,1,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CTYZ_00000018","Ctyz_8","CDS",NA,2.33,0.58,NA,3,2,2,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CTYZ_00000019","Ctyz_8","CDS","Armadillo-like[space]helical-containing[space]protein",4.25,1.71,6,5,2,4,6,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CTYZ_00000020","Ctyz_8","CDS","Mak5[space]pre-mRNA[space]splicing[space]RNA[space]SFII[space]helicase",2.33,0.58,2,2,NA,3,1,2,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"19","CTYZ_00000021","Ctyz_8","CDS","Uncharacterized[space]protein",2.75,0.96,2,4,3,2,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CTYZ_00000022","Ctyz_8","CDS","Uncharacterized[space]protein",2.75,0.96,2,3,4,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CTYZ_00000024","Ctyz_8","CDS","Ubiquitin-conjugating[space]enzyme[space]e2",1.75,1.5,4,1,1,1,3,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"22","CTYZ_00000027","Ctyz_8","CDS","Histone[space]acetyltransferase",1.33,0.58,1,2,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CTYZ_00000028","Ctyz_8","CDS","Uncharacterized[space]protein",3.5,1.73,2,5,2,5,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CTYZ_00000029","Ctyz_8","CDS","Type[space]II[space]pantothenate[space]kinase",1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CTYZ_00000030","Ctyz_8","CDS","Uncharacterized[space]protein",1.33,0.58,2,1,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CTYZ_00000031","Ctyz_8","CDS","Serine-threonine[space]protein[space]phosphatase",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CTYZ_00000033","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CTYZ_00000034","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CTYZ_00000035","Ctyz_8","CDS",NA,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CTYZ_00000038","Ctyz_8","CDS","Exoribonuclease[space]domain[space]containing[space]protein",2,0.82,3,2,1,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CTYZ_00000039","Ctyz_8","CDS","Asparaginyl-tRNA[space]synthetase[space](NOB+tRNA[space]synthase)",2.75,1.5,2,4,1,4,1,4,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","CTYZ_00000040","Ctyz_8","CDS","vacuolar[space]ATP[space]synthase[space]subunit[space]E",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CTYZ_00000041","Ctyz_8","CDS","DNA[space]mismatch[space]repair[space]proteins[space]mutS[space]family[space]domain[space]containing[space]protein",3,2,2,6,2,2,2,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CTYZ_00000042","Ctyz_8","CDS","FAD[space]dependent[space]oxidoreductase",2.75,1.26,3,4,1,3,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CTYZ_00000043","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CTYZ_00000044","Ctyz_8","CDS","60S[space]ribosomal[space]protein[space]L6",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CTYZ_00000045","Ctyz_8","CDS",NA,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CTYZ_00000046","Ctyz_8","CDS","Uncharacterized[space]protein",4,2,5,5,1,5,4,5,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"39","CTYZ_00000047","Ctyz_8","CDS","60S[space]ribosomal[space]protein[space]L7A",2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"40","CTYZ_00000048","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CTYZ_00000049","Ctyz_8","CDS","DnaJ[space]domain[space]containing[space]protein",1.67,1.15,3,1,1,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"42","CTYZ_00000050","Ctyz_8","CDS","Metallo-beta-lactamase",1.5,0.71,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CTYZ_00000051","Ctyz_8","CDS","MRG[space]domain[space]containing[space]protein",2,1,3,2,NA,1,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
